tbl,col,type,rows,non_null,null_pct
sys_compensation_bands,compensation_band_min_eur,numeric,87,12,86.2
sys_compensation_bands,compensation_band_mid_eur,numeric,87,12,86.2
sys_compensation_bands,compensation_band_max_eur,numeric,87,12,86.2
sys_compensation_bands,compensation_band_is_global,boolean,87,87,0.0
sys_compensation_bands,compensation_band_metadata,jsonb,87,87,0.0
sys_compensation_bands,created_at,timestamp with time zone,87,87,0.0
sys_compensation_bands,updated_at,timestamp with time zone,87,87,0.0
sys_compensation_recommendations,compensation_recommendation_id,uuid,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_tenant_id,uuid,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_user_id,uuid,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_position_id,uuid,116,0,100.0
sys_compensation_recommendations,compensation_recommendation_period_start,date,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_period_end,date,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_signal,character varying,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_amount_eur,numeric,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_narrative,text,116,0,100.0
sys_compensation_recommendations,compensation_recommendation_payload,jsonb,116,116,0.0
sys_compensation_recommendations,compensation_recommendation_computed_at,timestamp with time zone,116,116,0.0
sys_compensation_recommendations,created_at,timestamp with time zone,116,116,0.0
sys_content_blueprint_links,link_id,uuid,1,1,0.0
sys_content_blueprint_links,link_tenant_id,uuid,1,1,0.0
sys_content_blueprint_links,link_document_id,uuid,1,1,0.0
sys_content_blueprint_links,link_blueprint_process_id,uuid,1,1,0.0
sys_content_blueprint_links,link_role,character varying,1,1,0.0
sys_content_blueprint_links,link_note,text,1,0,100.0
sys_content_blueprint_links,link_metadata,jsonb,1,1,0.0
sys_content_blueprint_links,link_created_by,uuid,1,1,0.0
sys_content_blueprint_links,created_at,timestamp with time zone,1,1,0.0
sys_content_blueprint_links,updated_at,timestamp with time zone,1,1,0.0
sys_content_documents,document_id,uuid,121,121,0.0
