entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:332,name,en,Sales and Purchasing Agents and Brokers,HARVEST
sys_occupation_classifications,ISCO_08:3321,name,en,Insurance Representatives,HARVEST
sys_occupation_classifications,ISCO_08:3322,name,en,Commercial Sales Representatives,HARVEST
sys_occupation_classifications,ISCO_08:3323,name,en,Buyers,HARVEST
sys_occupation_classifications,ISCO_08:3324,name,en,Trade Brokers,HARVEST
sys_occupation_classifications,ISCO_08:333,name,en,Business Services Agents,HARVEST
sys_occupation_classifications,ISCO_08:3331,name,en,Clearing and Forwarding Aents,HARVEST
sys_occupation_classifications,ISCO_08:3332,name,en,Conference and Event Planners,HARVEST
sys_occupation_classifications,ISCO_08:3333,name,en,Employment agents and contractors,HARVEST
sys_occupation_classifications,ISCO_08:3334,name,en,Real Estate Agents and Property Managers,HARVEST
sys_occupation_classifications,ISCO_08:3339,name,en,Business Services Agents Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:334,name,en,Administrative and Specialized Secretaries,HARVEST
sys_occupation_classifications,ISCO_08:3341,name,en,Office Supervisors,HARVEST
sys_occupation_classifications,ISCO_08:3342,name,en,Legal Secretaries,HARVEST
sys_occupation_classifications,ISCO_08:3343,name,en,Administrative and Executive Secretaries,HARVEST
sys_occupation_classifications,ISCO_08:3344,name,en,Medical Secretaries,HARVEST
sys_occupation_classifications,ISCO_08:335,name,en,Government Regulatory  Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3351,name,en,Customs and Border Inspectors,HARVEST
sys_occupation_classifications,ISCO_08:3352,name,en,Government Tax and Excise Officials,HARVEST
sys_occupation_classifications,ISCO_08:3353,name,en,Government Social Benefits Officials,HARVEST
sys_occupation_classifications,ISCO_08:3354,name,en,Government Licensing Officials,HARVEST
sys_occupation_classifications,ISCO_08:3355,name,en,Police Inspectors and Detectives,HARVEST
sys_occupation_classifications,ISCO_08:3359,name,en,Government Regulatory AssociatePprofessionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:34,name,en,"Legal, Social, Cultural and Related Associate Professionals",HARVEST
sys_occupation_classifications,ISCO_08:341,name,en,"Legal, Social and Religious Associate Professionals",HARVEST
sys_occupation_classifications,ISCO_08:3411,name,en,Legal and Related Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3412,name,en,Social Work Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:3413,name,en,Religious Associate Professionals,HARVEST
