scheme,code,parent_code,level,name
ISCO_08,5151,515,4,"Supervisori di servizi di pulizia in uffici, esercizi alberghieri ed altri esercizi"
ISCO_08,5152,515,4,Collaboratori domestici
ISCO_08,5153,515,4,Custodi di immobili
ISCO_08,516,51,3,Altre professioni nei servizi alle persone
ISCO_08,5161,516,4,"Astrologi, chiromanti ed assimilati"
ISCO_08,5162,516,4,Personale di compagnia e valletti
ISCO_08,5163,516,4,Addetti alle pompe funebri e imbalsamatori
ISCO_08,5164,516,4,Personale addetto alla cura degli animali
ISCO_08,5165,516,4,Istruttori di guida automobilistica
ISCO_08,5169,516,4,Professioni nei servizi alle persone non classificati altrove
ISCO_08,52,5,2,Professioni nelle attività commerciali
ISCO_08,521,52,3,Commercianti ambulanti
ISCO_08,5211,521,4,Venditori su bancarelle e mercati
ISCO_08,5212,521,4,Venditori ambulanti di generi alimentari
ISCO_08,522,52,3,Esercenti e addetti alle vendite
ISCO_08,5221,522,4,Esercenti delle vendite
ISCO_08,5222,522,4,Addetto ai controlli delle vendite
ISCO_08,5223,522,4,Assistenti alle vendite
ISCO_08,523,52,3,Cassieri e addetti al registratore di cassa
ISCO_08,5230,523,4,Cassieri e addetti al registratore di cassa
ISCO_08,524,52,3,Altre professioni nelle attività commerciali
ISCO_08,5241,524,4,"Indossatori, modelli e assimilati"
ISCO_08,5242,524,4,Dimostratori
ISCO_08,5243,524,4,Venditori a domicilio
ISCO_08,5244,524,4,Venditori telefonici
ISCO_08,5245,524,4,Addetti ai distributori di carburanti
ISCO_08,5246,524,4,Addetti al banco servizi di ristorazione
ISCO_08,5249,524,4,Professioni nelle attività commerciali non classificate altrove
ISCO_08,53,5,2,Professioni nell’assistenza alle persone
ISCO_08,531,53,3,Addetti alla sorveglianza di bambini e assistenti didattici
ISCO_08,5311,531,4,Addetti alla sorveglianza di bambini
ISCO_08,5312,531,4,Assistenti didattici
ISCO_08,532,53,3,Addetti all’assistenza alle persone nei servizi sanitari
ISCO_08,5321,532,4,Ausiliari sanitari
ISCO_08,5322,532,4,Addetti all’assistenza personale a domicilio
ISCO_08,5329,532,4,Addetti all’assistenza alle persone nei servizi sanitari non classificati altrove
ISCO_08,54,5,2,"Professioni nei servizi di sicurezza, custodia e vigilanza"
ISCO_08,541,54,3,"Professioni nei servizi di sicurezza, custodia e vigilanza"
ISCO_08,5411,541,4,Vigili del fuoco
ISCO_08,5412,541,4,Agenti di polizia
ISCO_08,5413,541,4,Agenti di custodia carceraria
ISCO_08,5414,541,4,Agenti di sicurezza
ISCO_08,5419,541,4,"Professioni nei servizi di sicurezza, custodia e vigilanza non classificati altrove"
ISCO_08,6,,1,"Personale specializzato addetto all’agricoltura, alle foreste e alla pesca"
ISCO_08,61,6,2,Agricoltori e operai agricoli specializzati
ISCO_08,611,61,3,Agricoltori e operai agricoli specializzati nelle coltivazioni e colture in pieno campo
ISCO_08,6111,611,4,Lavoratori agricoli specializzati di colture in pieno campo e ortive
ISCO_08,6112,611,4,Lavoratori agricoli specializzati di coltivazioni legnose agrarie
ISCO_08,6113,611,4,"Lavoratori agricoli specializzati di coltivazioni di fiori e piante ornamentali, di coltivazioni ortive e vivai"
ISCO_08,6114,611,4,Lavoratori agricoli specializzati di colture miste
ISCO_08,612,61,3,Allevatori
ISCO_08,6121,612,4,Lavoratori specializzati nell’allevamento del bestiame e nella produzione del latte
ISCO_08,6122,612,4,Lavoratori specializzati degli allevamenti avicoli
ISCO_08,6123,612,4,Apicoltori e sericoltori
ISCO_08,6129,612,4,Allevatori non classificati altrove
